level,file_num,size_byte,extents
3,2918,67896146,1
3,2954,67896403,1
3,2998,41684033,1
3,2366,67896861,1
3,2907,67896410,1
3,2941,67896088,1
3,2972,67896149,1
3,3010,55827664,1
3,2564,67896863,1
3,2569,67896859,1
3,2591,44138658,1
3,2110,67897657,1
3,2153,67897295,1
3,2186,11660406,1
3,1711,67897840,1
3,2375,67897029,1
3,2406,67896858,1
3,2443,67897051,1
3,2465,35834031,1
3,2068,67897261,1
3,2073,67897269,1
3,2085,67897550,1
3,2115,9187633,1
3,2273,67897434,1
3,2297,67896878,1
3,2310,43211816,1
3,1983,67897292,1
3,2635,67896824,1
3,2663,67896481,1
3,2665,12632353,1
3,2579,67896501,1
3,2886,67896486,1
3,2900,67896151,1
3,2934,67896200,1
3,2963,19423123,1
3,2571,67896550,1
3,2575,67896490,1
3,2621,67896487,1
3,2906,67896119,1
3,2910,67896483,1
3,2955,67897247,1
3,2970,67896802,1
3,3008,67896108,1
3,3035,12507387,1
3,2676,67897139,1
3,2709,67896472,1
3,2729,67896710,1
3,2751,38385931,1
3,2172,67897243,1
3,2184,67896943,1
3,2973,67897054,1
3,3015,67896362,1
3,3039,67896091,1
3,3048,36331838,1
3,2921,67896134,1
3,2950,26718880,1
3,2312,21365792,1
3,2243,67896848,1
3,2567,67896887,1
3,2572,67896745,1
3,2593,67896505,1
3,2598,35311248,1
3,2272,67896867,1
3,2304,36438532,1
3,2248,67897756,1
3,2281,67896858,1
3,2336,67896853,1
3,2341,67896884,1
3,2407,67896888,1
3,2413,67896860,1
3,2442,67896824,1
3,2463,38349194,1
3,2619,67896719,1
3,2658,67896865,1
3,2695,67897223,1
3,2726,41542673,1
3,2958,67897243,1
3,2999,67896131,1
3,3030,67896431,1
3,3056,40672999,1
3,2106,52914581,1
3,2919,67896490,1
3,2953,67896084,1
3,2996,31266795,1
3,2100,67897623,1
3,2127,32707856,1
3,1751,67899005,1
3,2015,67897647,1
3,2019,67897232,1
3,2083,67897212,1
3,2685,67897040,1
3,2719,67896860,1
3,2744,67896576,1
3,2758,66134514,1
3,2250,67897108,1
3,2368,67896888,1
3,2373,67896839,1
3,2377,67896841,1
3,2424,67896858,1
3,2440,67896866,1
3,2469,67896902,1
3,2490,3812795,1
3,2078,67897240,1
3,2573,67897030,1
3,2603,67896507,1
3,2640,67896796,1
3,2670,25030609,1
3,2902,67898733,1
3,2938,67896352,1
3,2967,67896460,1
3,3001,36316348,1
3,2605,67896611,1
3,2608,67896463,1
3,2614,67896470,1
3,2623,67896753,1
3,2884,67896845,1
3,2892,67896119,1
3,2896,67896144,1
3,2909,67896141,1
3,2937,67896725,1
3,2974,41009445,1
3,2374,67897251,1
3,2409,67897938,1
3,2562,67896701,1
3,2588,67896488,1
3,2682,67896477,1
3,2686,67896496,1
3,2692,67896569,1
3,2697,25241055,1
3,2491,24650056,1
3,2385,67896859,1
3,2412,67897572,1
3,2416,26978814,1
3,2570,67896858,1
3,2600,67896498,1
3,2643,67896641,1
3,2911,67896160,1
3,2915,67896120,1
3,2916,67896092,1
3,2931,55558147,1
3,2360,41395862,1
3,1716,67897695,1
3,2044,67897690,1
3,2051,67897448,1
3,2429,67897249,1
3,2462,67897243,1
3,2488,67897281,1
3,2523,48928183,1
3,2363,67897795,1
3,2400,67897263,1
3,2444,67897222,1
3,2457,15509161,1
3,2299,67896911,1
3,2410,67896839,1
3,2430,67896892,1
3,2451,67896822,1
3,2458,13505094,1
3,2354,67897500,1
3,2387,35071488,1
3,2554,67896955,1
3,2578,67897246,1
3,2881,67896284,1
3,2897,67896132,1
3,2929,67896252,1
3,2943,6755770,1
3,2599,67896476,1
3,2639,67896824,1
3,2668,24431586,1
3,2357,67897231,1
3,2388,67896847,1
3,2414,67896864,1
3,2423,13407318,1
3,2317,62687060,1
3,1947,67898235,1
3,1959,67897247,1
3,2059,67897288,1
3,2064,67897252,1
3,2965,67896617,1
3,3007,67896504,1
3,3036,67896476,1
3,3072,1028253,1
